title,organization,location,stipend,skills,duration,type,source,apply_link,scraped_at
Law/Legal,"Vinod Kumar Sharma                        
Actively hiring",Gurgaon,"₹ 12,000 - 15,000 /month",,3 Months,Internship,Internshala,https://internshala.com/internship/detail/part-time-law-legal-internship-in-gurgaon-at-vinod-kumar-sharma1767867244,2026-01-10 00:57:16
Sales,"Relinns Technologies                        
Actively hiring",Mohali,"₹ 10,000 /month",,6 Months,Internship,Internshala,https://internshala.com/internship/detail/sales-internship-in-mohali-at-relinns-technologies1767963568,2026-01-10 00:57:16
Animation,"Lenn Chartered & Co                        
Actively hiring","Delhi, Indore, Kolkata, Patna, Hyderabad, Mumbai, Jaipur, Bangalore, Gujarat","₹ 1,10,000 - 1,70,000 /month",,6 Months,Internship,Internshala,https://internshala.com/internship/detail/animation-internship-in-multiple-locations-at-lenn-chartered-co1767869431,2026-01-10 00:57:16
Marketing And Growth,"Grexa AI Private Limited                        
Actively hiring","Thane, Navi Mumbai, Dombivli, Mumbai, Vashi, Panvel","₹ 10,000 - 20,000 /month",,6 Months,Internship,Internshala,https://internshala.com/internship/detail/marketing-and-growth-internship-in-multiple-locations-at-grexa-ai-private-limited1767867868,2026-01-10 00:57:16
Video Editor,"Coitonic Company                        
Actively hiring",Jaipur,"₹ 5,000 - 8,000 /month",,3 Months,Internship,Internshala,https://internshala.com/internship/detail/video-editor-internship-in-jaipur-at-coitonic-company1765885540,2026-01-10 00:57:16
Graphic Design,"Surge Media                        
Actively hiring",Mumbai,"₹ 12,000 - 15,000 /month",,4 Months,Internship,Internshala,https://internshala.com/internship/detail/graphic-design-internship-in-mumbai-at-surge-media1766484774,2026-01-10 00:57:16
Prompt Engineering,"Configtap                        
Actively hiring",Bangalore,"₹ 4,000 - 6,000 /month",,6 Months,Internship,Internshala,https://internshala.com/internship/detail/prompt-engineering-internship-in-bangalore-at-configtap1767962379,2026-01-10 00:57:16
Video Editing/Making,"StoryMirror Infotech Private Limited                        
Actively hiring",Mumbai,"₹ 8,000 - 15,000 /month",,3 Months,Internship,Internshala,https://internshala.com/internship/detail/video-editing-making-internship-in-mumbai-at-storymirror-infotech-private-limited1767861004,2026-01-10 00:57:16
Graphic Design,"StoryMirror Infotech Private Limited                        
Actively hiring",Mumbai,"₹ 8,000 - 12,000 /month",,3 Months,Internship,Internshala,https://internshala.com/internship/detail/graphic-design-internship-in-mumbai-at-storymirror-infotech-private-limited1767853349,2026-01-10 00:57:16
WordPress Development,"Groweazy Digital Private Limited                        
Actively hiring",Lucknow,"₹ 8,000 - 10,000 /month",,3 Months,Internship,Internshala,https://internshala.com/internship/detail/wordpress-development-internship-in-lucknow-at-groweazy-digital-private-limited1766034893,2026-01-10 00:57:16
,,,,,,Internship,Internshala,,2026-01-10 00:57:16
Content and Social Media Marketing,"P&M                        
Actively hiring","Delhi, Gurgaon","₹ 15,000 - 20,000 /month",,6 Months,Internship,Internshala,https://internshala.com/internship/detail/content-and-social-media-marketing-internship-in-multiple-locations-at-p-m1766821760,2026-01-10 00:57:16
AI Filmmaker And Content Creator,"Be Rolling Media                        
Actively hiring",Delhi,"₹ 6,000 - 8,000 /month",,4 Months,Internship,Internshala,https://internshala.com/internship/detail/ai-filmmaker-and-content-creator-internship-in-delhi-at-be-rolling-media1767951088,2026-01-10 00:57:16
Product Management,"Mple AI                        
Actively hiring",Mumbai,"₹ 10,000 - 15,000 /month",,1 Month,Internship,Internshala,https://internshala.com/internship/detail/product-management-internship-in-mumbai-at-mple-ai1767877455,2026-01-10 00:57:16
Junior STEM Mentor/Educator/Trainer/Junior Robotics Engineer,"STEMx                        
Actively hiring","Delhi, Pune, Thane, Shirpur, Navi Mumbai, Mumbai, Nagpur, Nashik","₹ 12,000 - 15,000 /month",,4 Months,Internship,Internshala,https://internshala.com/internship/detail/junior-stem-mentor-educator-trainer-junior-robotics-engineer-internship-in-multiple-locations-at-stemx1767932119,2026-01-10 00:57:16
Wordpress Developer,"Forward Impact                        
Actively hiring",Indore,"₹ 6,000 - 15,000 /month",,2 Months,Internship,Internshala,https://internshala.com/internship/detail/wordpress-developer-internship-in-indore-at-forward-impact1767616282,2026-01-10 00:57:16
Content and Social Media Marketing,"Sankar Group                        
Actively hiring","Bhubaneswar, Berhampur","₹ 3,000 - 5,000 /month",,6 Months,Internship,Internshala,https://internshala.com/internship/detail/content-and-social-media-marketing-internship-in-multiple-locations-at-sankar-group1767848797,2026-01-10 00:57:16
Brand Management,"Pinnacle Management & Utility Services                        
Actively hiring","Thane, Dombivli, Kalyan, Mumbai","₹ 6,000 - 12,000 /month",,6 Months,Internship,Internshala,https://internshala.com/internship/detail/brand-management-internship-in-multiple-locations-at-pinnacle-management-utility-services1767862458,2026-01-10 00:57:16
Project Management,"DHARANI LIFE SKILLS PRIVATE LIMITED                        
Actively hiring","Ranga Reddy, Medchal District","₹ 13,500 - 15,500 /month",,3 Months,Internship,Internshala,https://internshala.com/internship/detail/project-management-internship-in-multiple-locations-at-dharani-life-skills-private-limited1766117390,2026-01-10 00:57:16
Artificial Intelligence (AI),"Raletta Technology Private Limited                        
Actively hiring",Indore,"₹ 2,000 - 2,500 /month",,3 Months,Internship,Internshala,https://internshala.com/internship/detail/artificial-intelligence-ai-internship-in-indore-at-raletta-technology-private-limited1766557063,2026-01-10 00:57:16
AI Video Gen Artist,"SAS Group                        
Actively hiring",Work from home,"₹ 12,000 - 16,000 /month",,6 Months,Internship,Internshala,https://internshala.com/internship/detail/work-from-home-ai-video-gen-artist-internship-at-sas-group1767941534,2026-01-10 00:57:16
Artificial Intelligence (AI),"Karma Infratech                        
Actively hiring",Kanpur,"₹ 10,000 - 15,000 /month",,3 Months,Internship,Internshala,https://internshala.com/internship/detail/artificial-intelligence-ai-internship-in-kanpur-at-karma-infratech1765795884,2026-01-10 00:57:16
AI Agent Development,"International Institute Of SDGs & Public Policy Research                        
Actively hiring",Work from home,Unpaid,,4 Months,Internship,Internshala,https://internshala.com/internship/detail/work-from-home-ai-agent-development-internship-at-international-institute-of-sdgs-public-policy-research1767904114,2026-01-10 00:57:16
Graphic Design,"Oytra                        
Actively hiring",Mumbai,"₹ 10,000 - 15,000 /month",,3 Months,Internship,Internshala,https://internshala.com/internship/detail/graphic-design-internship-in-mumbai-at-oytra1767160550,2026-01-10 00:57:16
AI Video Generator,The Ocean Marketing,"Virar, Vasai, Mira Bhayandar, Nala Sopara, Mumbai, Vasai-Virar, Vasai Road","₹ 5,500 - 10,000 /month",,6 Months,Internship,Internshala,https://internshala.com/internship/detail/ai-video-generator-internship-in-multiple-locations-at-the-ocean-marketing1767954012,2026-01-10 00:57:16
Social Media Marketing,Raya Studios,Delhi,"₹ 7,000 /month",,6 Months,Internship,Internshala,https://internshala.com/internship/detail/social-media-marketing-internship-in-delhi-at-raya-studios1767876051,2026-01-10 00:57:16
