title,company,work_type,posted_on,location,duration,start_date,stipend,openings,apply_by,type,source,apply_link,scraped_at
LLM TRAINING-AI INTERNSHIP OPPORTUNITY,Green Rider Technology LLP,Full Time,08-Jan-2026,"Gurgaon,Indore,",1 Months,Immediately,30000 /month,500,30-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY3ODUzMzUxNjk1ZjRkMjdhNzNmYg==,2026-01-17 02:03:41
LEAD GENERATION INTERN,PRANAYUV TECHNOLOGIES PRIVATE LIMITED,Part Time,16-Jan-2026,"Pan India,",6 Months,Immediately,Unpaid,5,21-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTg0NzU2Njk2YTc2MzQwZjhhYg==,2026-01-17 02:03:41
GRAPHIC DESIGNER INTERN,CtrlAltBuild Technologies,Virtual Internship,16-Jan-2026,"Pan India,",6 Weeks,Immediately,Unpaid,2,31-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTgzNzYxNjk2YTcyNTEwYWRlZg==,2026-01-17 02:03:41
FINANCE INTERN,UPTOSKILLS,Virtual Internship,16-Jan-2026,"Pan India,",3 Months,Immediately,Unpaid,10,26-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTcxOTM5Njk2YTQ0MjNhZmEwNw==,2026-01-17 02:03:41
* DATA ANALYSIS AND DATA SCIENCE USING PYTHON INTERNSHIP,Soft Nexis Technology,Virtual Internship,16-Jan-2026,"Pan India,",2 Months,Immediately,Unpaid,3,19-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTY3Njg4Njk2YTMzODgyNTZiOA==,2026-01-17 02:03:41
APPOINTMENT OF CIVIL ENGINEER CADRE TRAINEES UNDER INTERNSHIP PROGRAMME FOR IRRIGATION PROJECTS IN SINDHUDURG DISTRICT.,"MHWRD27South Kokan Irrigation Project Circle, Sindhudurgnagari",Full Time,16-Jan-2026,"Sindhudurg,",6 Weeks,Immediately,Unpaid,10,31-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTY0ODcxNjk2YTI4ODc0NjI2Ng==,2026-01-17 02:03:41
PYTHON - AI - ML - DATA SCIENCE - JAVA - WEBSITE DEVELOPMENT INTERNSHIP,ROBOKWIK.COM,Virtual Internship,16-Jan-2026,"Pan India,",2 Months,Immediately,Unpaid,1,20-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTY0MTA2Njk2YTI1OGE5YWM1Mg==,2026-01-17 02:03:41
USED WATER MANAGEMENT INTERN FOR SBM - U3,Bareilly Municipal Corporation,Full Time,16-Jan-2026,"Bareilly ,",6 Months,Immediately,Unpaid,3,17-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUEdPVlNCTV8xNzY4NTU5NjU2Njk2YTE0Mjg0NjhiNA==&level=Mg==,2026-01-17 02:03:41
SOLID WASTE MANAGEMENT,Bareilly Municipal Corporation,Full Time,16-Jan-2026,"Bareilly ,",6 Months,Immediately,Unpaid,3,17-Jan-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUEdPVlNCTV8xNzY4NTU4NzY5Njk2YTEwYjEyNzJmMg==&level=Mg==,2026-01-17 02:03:41
1M1B GREEN INTERNSHIP - BATCH 7,1M1B Green Skills Academy,Virtual Internship,16-Jan-2026,"Pan India,",6 Weeks,Immediately,Unpaid,2500,07-Feb-2026,internship,AICTE,internship-details.php?uid=SU5URVJOU0hJUF8xNzY4NTU4Mzk4Njk2YTBmM2U2NjZkOA==,2026-01-17 02:03:42
